,LANE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17a,1,1,1,,,,,,,,,,,,,,,,
18d,1,1,1,,,,,,,,,,,,,,,,
19g,1,1,1,,,,,,,,,,,,,,,,
20h,1,1,1,,,,,,,,,,,,,,,,
21e,1,1,1,,,,,,,,,,,,,,,,
22r,1,1,1,,,,,,,,,,,,,,,,
23n,1,1,1,,,,,,,,,,,,,,,,
24t,1,1,1,,,,,,,,,,,,,,,,
25e,1,1,1,,,,,,,,,,,,,,,,
26u,1,1,1,,,,,,,,,,,,,,,,
27p,1,1,1,,,,,,,,,,,,,,,,
28h,1,1,1,,,,,,,,,,,,,,,,
29x,1,1,1,,,,,,,,,,,,,,,,
30s,1,1,1,,,,,,,,,,,,,,,,
31a,1,1,1,,,,,,,,,,,,,,,,
32b,1,1,1,,,,,,,,,,,,,,,,
33j,1,1,1,,,,,,,,,,,,,,,,
34g,1,1,1,,,,,,,,,,,,,,,,
35k,1,1,1,,,,,,,,,,,,,,,,
36m,1,1,1,,,,,,,,,,,,,,,,
37d,1,1,1,,,,,,,,,,,,,,,,
38f,1,1,1,,,,,,,,,,,,,,,,
39t,1,1,1,,,,,,,,,,,,,,,,
40n,1,1,1,,,,,,,,,,,,,,,,
41v,1,1,1,,,,,,,,,,,,,,,,
42w,1,1,1,,,,,,,,,,,,,,,,
43r,1,1,1,,,,,,,,,,,,,,,,
44i,1,1,1,,,,,,,,,,,,,,,,
45o,1,1,1,,,,,,,,,,,,,,,,
46c,1,1,1,,,,,,,,,,,,,,,,
47q,1,1,1,,,,,,,,,,,,,,,,
48l,1,1,1,,,,,,,,,,,,,,,,
49s,1,1,1,,,,,,,,,,,,,,,,
50t,1,1,1,,,,,,,,,,,,,,,,
51l,1,1,1,,,,,,,,,,,,,,,,
52w,1,1,1,,,,,,,,,,,,,,,,
53v,1,1,1,,,,,,,,,,,,,,,,
54r,1,1,1,,,,,,,,,,,,,,,,
55q,1,1,1,,,,,,,,,,,,,,,,
56a,1,1,1,,,,,,,,,,,,,,,,
57e,1,1,1,,,,,,,,,,,,,,,,
58o,1,1,1,,,,,,,,,,,,,,,,
59h,1,1,1,,,,,,,,,,,,,,,,
60m,1,1,1,,,,,,,,,,,,,,,,
61i,1,1,1,,,,,,,,,,,,,,,,
62g,1,1,1,,,,,,,,,,,,,,,,
63d,1,1,1,,,,,,,,,,,,,,,,
64p,1,1,1,,,,,,,,,,,,,,,,
65n,1,1,1,,,,,,,,,,,,,,,,
66k,1,1,1,,,,,,,,,,,,,,,,
67c,1,1,1,,,,,,,,,,,,,,,,
68f,1,1,1,,,,,,,,,,,,,,,,
69u,1,1,1,,,,,,,,,,,,,,,,
70j,1,1,1,,,,,,,,,,,,,,,,
71x,1,1,1,,,,,,,,,,,,,,,,
72b,1,1,1,,,,,,,,,,,,,,,,
73x,1,1,1,,,,,,,,,,,,,,,,
74v,1,1,1,,,,,,,,,,,,,,,,
75h,1,1,1,,,,,,,,,,,,,,,,
76n,1,1,1,,,,,,,,,,,,,,,,
77e,1,1,1,,,,,,,,,,,,,,,,
78c,1,1,1,,,,,,,,,,,,,,,,
79k,1,1,1,,,,,,,,,,,,,,,,
80p,1,1,1,,,,,,,,,,,,,,,,
81w,1,1,1,,,,,,,,,,,,,,,,
82t,1,1,1,,,,,,,,,,,,,,,,
83s,1,1,1,,,,,,,,,,,,,,,,
84r,1,1,1,,,,,,,,,,,,,,,,
85u,1,1,1,,,,,,,,,,,,,,,,
86g,1,1,1,,,,,,,,,,,,,,,,
87m,1,1,1,,,,,,,,,,,,,,,,
88i,1,1,1,,,,,,,,,,,,,,,,
89o,1,1,1,,,,,,,,,,,,,,,,
90q,1,1,1,,,,,,,,,,,,,,,,
91d,1,1,1,,,,,,,,,,,,,,,,
92j,1,1,1,,,,,,,,,,,,,,,,
93f,1,1,1,,,,,,,,,,,,,,,,
94b,1,1,1,,,,,,,,,,,,,,,,
95a,1,1,1,,,,,,,,,,,,,,,,
96l,1,1,1,,,,,,,,,,,,,,,,
97p,1,1,1,,,,,,,,,,,,,,,,
98m,1,1,1,,,,,,,,,,,,,,,,
99t,1,1,1,,,,,,,,,,,,,,,,
100n,1,1,1,,,,,,,,,,,,,,,,
101b,1,1,1,,,,,,,,,,,,,,,,
102k,1,1,1,,,,,,,,,,,,,,,,
103j,1,1,1,,,,,,,,,,,,,,,,
104a,1,1,1,,,,,,,,,,,,,,,,
105l,1,1,1,,,,,,,,,,,,,,,,
106e,1,1,1,,,,,,,,,,,,,,,,
107f,1,1,1,,,,,,,,,,,,,,,,
108g,1,1,1,,,,,,,,,,,,,,,,
109u,1,1,1,,,,,,,,,,,,,,,,
110h,1,1,1,,,,,,,,,,,,,,,,
111s,1,1,1,,,,,,,,,,,,,,,,
112d,1,1,1,,,,,,,,,,,,,,,,
113c,1,1,1,,,,,,,,,,,,,,,,
114r,1,1,1,,,,,,,,,,,,,,,,
115w,1,1,1,,,,,,,,,,,,,,,,
116x,1,1,1,,,,,,,,,,,,,,,,
117v,1,1,1,,,,,,,,,,,,,,,,
118q,1,1,1,,,,,,,,,,,,,,,,
119o,1,1,1,,,,,,,,,,,,,,,,
120i,1,1,1,,,,,,,,,,,,,,,,
121x,1,1,1,,,,,,,,,,,,,,,,
122n,1,1,1,,,,,,,,,,,,,,,,
123d,1,1,1,,,,,,,,,,,,,,,,
124p,1,1,1,,,,,,,,,,,,,,,,
125l,1,1,1,,,,,,,,,,,,,,,,
126r,1,1,1,,,,,,,,,,,,,,,,
127h,1,1,1,,,,,,,,,,,,,,,,
128v,1,1,1,,,,,,,,,,,,,,,,
129e,1,1,1,,,,,,,,,,,,,,,,
130f,1,1,1,,,,,,,,,,,,,,,,
131m,1,1,1,,,,,,,,,,,,,,,,
132b,1,1,1,,,,,,,,,,,,,,,,
133a,1,1,1,,,,,,,,,,,,,,,,
134i,1,1,1,,,,,,,,,,,,,,,,
135t,1,1,1,,,,,,,,,,,,,,,,
136c,1,1,1,,,,,,,,,,,,,,,,
137j,1,1,1,,,,,,,,,,,,,,,,
138s,1,1,1,,,,,,,,,,,,,,,,
139k,1,1,1,,,,,,,,,,,,,,,,
140u,1,1,1,,,,,,,,,,,,,,,,
141q,1,1,1,,,,,,,,,,,,,,,,
142g,1,1,1,,,,,,,,,,,,,,,,
143o,1,1,1,,,,,,,,,,,,,,,,
144w,1,1,1,,,,,,,,,,,,,,,,
